timestamp_utc,unix_time,slug,seconds_left,up_bid,up_ask,up_mid,down_bid,down_ask,down_mid,up_bid_depth,up_ask_depth,down_bid_depth,down_ask_depth,up_imbalance,down_imbalance,up_change_5s,up_change_15s,up_change_30s,pair_ask_cost,signal,score,reasons
2026-09-21 11:30:55,1789990254,btc-updown-5m-1789990200,246,0.61,0.62,0.615,0.38,0.39,0.385,1577.27,3157.38,3071.5200000000004,1567.6,-0.33373322209667033,0.32418217248098785,-0.010000000000000009,0.39,,1.01,WAIT,0,"UP15+,UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:30:56,1789990256,btc-updown-5m-1789990200,244,0.61,0.62,0.615,0.38,0.39,0.385,1803.1,3329.6800000000003,4023.7100000000005,1303.48,-0.29741777360416777,0.5106313084384075,0.030000000000000027,0.4,,1.01,WAIT,2,"UP5+,UP15+,UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:30:58,1789990257,btc-updown-5m-1789990200,243,0.78,0.79,0.785,0.2,0.21,0.20500000000000002,478.85,1097.8200000000002,1191.99,729.46,-0.39258056536878366,0.24071924848421763,0.20000000000000007,0.33,,1.0,WAIT,2,"UP5+,UP15+,UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:31:00,1789990259,btc-updown-5m-1789990200,241,0.8,0.81,0.805,0.19,0.2,0.195,1381.46,4086.04,363.91,2757.13,-0.49466483767718333,-0.766802091610489,0.19000000000000006,0.32000000000000006,0.6300000000000001,1.01,UP WATCH,5,"UP5+,UP15+,UP30+,UP_BOOK_WEAK,DOWN_BOOK_WEAK"
2026-09-21 11:31:01,1789990261,btc-updown-5m-1789990200,239,0.84,0.85,0.845,0.15,0.16,0.155,1355.12,4453.01,2526.1400000000003,2567.8599999999997,-0.5333713260550298,-0.008190027483313574,0.22999999999999998,0.29999999999999993,0.6699999999999999,1.01,UP WATCH,4,"UP5+,UP15+,UP30+,UP_BOOK_WEAK"
2026-09-21 11:31:03,1789990262,btc-updown-5m-1789990200,238,0.83,0.84,0.835,0.17,0.18,0.175,2215.53,4301.370000000001,6300.51,1852.09,-0.3200662891865765,0.5456443343227927,0.04999999999999993,0.2899999999999999,0.6599999999999999,1.02,WAIT,3,"UP5+,UP15+,UP30+,UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:31:04,1789990264,btc-updown-5m-1789990200,236,0.8,0.81,0.805,0.19,0.2,0.195,2284.7,4141.8099999999995,3539.5699999999997,3004.73,-0.28897644289046465,0.0817260822395061,0.0,0.18000000000000005,0.6300000000000001,1.01,WAIT,2,"UP15+,UP30+,UP_BOOK_WEAK"
2026-09-21 11:31:06,1789990265,btc-updown-5m-1789990200,235,0.81,0.82,0.815,0.18,0.19,0.185,3271.38,1914.17,2162.04,3734.1499999999996,0.2617292283364349,-0.26663150271616076,0.009999999999999898,0.17999999999999994,0.6399999999999999,1.01,UP WATCH,5,"UP15+,UP30+,UP_BOOK,DOWN_BOOK_WEAK"
2026-09-21 11:31:08,1789990267,btc-updown-5m-1789990200,233,0.82,0.83,0.825,0.16,0.17,0.165,2794.46,3081.9599999999996,4341.879999999999,1009.3199999999999,-0.048924345094462196,0.6227687247720138,-0.010000000000000009,0.24,0.6499999999999999,1.0,WAIT,2,"UP15+,UP30+,DOWN_BOOK"
2026-09-21 11:31:09,1789990269,btc-updown-5m-1789990200,231,0.81,0.82,0.815,0.18,0.19,0.185,1720.16,3569.04,3594.04,1658.88,-0.34955758904938367,0.36839700585579066,0.009999999999999898,0.19999999999999996,0.59,1.01,WAIT,1,"UP15+,UP30+,UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:31:11,1789990270,btc-updown-5m-1789990200,230,0.82,0.83,0.825,0.17,0.18,0.175,1383.03,3829.29,4160.39,1771.12,-0.46932268164656055,0.40280973984702045,0.010000000000000009,0.20999999999999996,0.61,1.01,WAIT,1,"UP15+,UP30+,UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:31:12,1789990272,btc-updown-5m-1789990200,228,0.81,0.82,0.815,0.18,0.19,0.185,1733.88,3212.06,3222.06,1296.88,-0.2988673538296056,0.4260246872054065,-0.010000000000000009,0.029999999999999916,0.35999999999999993,1.01,WAIT,-1,"UP30+,UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:31:14,1789990273,btc-updown-5m-1789990200,227,0.8,0.81,0.805,0.19,0.2,0.195,2549.1799999999994,2311.91,2197.31,2524.1799999999994,0.048810040546461715,-0.06923026417508021,-0.019999999999999907,0.020000000000000018,0.32000000000000006,1.01,WAIT,1,UP30+
2026-09-21 11:31:15,1789990275,btc-updown-5m-1789990200,225,0.8,0.81,0.805,0.18,0.19,0.185,1830.81,1803.8,1718.0,3289.5,0.007431333760706099,-0.31382925611582624,-0.019999999999999907,0.0,0.26,1.0,WAIT,2,"UP30+,DOWN_BOOK_WEAK"
2026-09-21 11:31:17,1789990276,btc-updown-5m-1789990200,224,0.83,0.84,0.835,0.16,0.17,0.165,1929.98,3289.34,3278.34,1560.86,-0.2604477211590782,0.35490990246321713,0.010000000000000009,-0.010000000000000009,0.2899999999999999,1.01,WAIT,-1,"UP30+,UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:31:19,1789990278,btc-updown-5m-1789990200,222,0.83,0.84,0.835,0.16,0.17,0.165,2410.73,2070.68,2509.37,1885.76,0.07588013593935841,0.14188658811002175,0.029999999999999916,0.0,0.20999999999999996,1.01,WAIT,1,UP30+
2026-09-21 11:31:21,1789990280,btc-updown-5m-1789990200,220,0.84,0.85,0.845,0.16,0.17,0.165,2548.02,3716.95,3086.02,1486.04,-0.18658189903543032,0.3499472885307717,0.039999999999999925,0.030000000000000027,0.20999999999999996,1.02,WAIT,2,"UP5+,UP30+,DOWN_BOOK"
2026-09-21 11:31:23,1789990282,btc-updown-5m-1789990200,218,0.76,0.77,0.765,0.23,0.24,0.235,1767.0599999999997,3224.13,3119.83,1906.8599999999997,-0.2919283778016867,0.2413059090574514,-0.06999999999999995,-0.05999999999999994,0.18000000000000005,1.01,DOWN WATCH,-5,"UP5-,UP15-,UP30+,UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:31:24,1789990284,btc-updown-5m-1789990200,216,0.68,0.7,0.69,0.3,0.31,0.305,524.49,815.87,423.65,932.21,-0.21738935808290308,-0.37508297316832123,-0.14500000000000002,-0.125,0.07499999999999996,1.01,WAIT,-3,"UP5-,UP15-,UP30+,UP_BOOK_WEAK,DOWN_BOOK_WEAK"
2026-09-21 11:31:26,1789990285,btc-updown-5m-1789990200,215,0.8,0.81,0.805,0.19,0.2,0.195,1092.92,1897.2200000000003,3265.5600000000004,1942.92,-0.2689840609469791,0.2539397290572298,-0.039999999999999925,-0.019999999999999907,0.19000000000000006,1.01,WAIT,-3,"UP5-,UP30+,UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:31:27,1789990287,btc-updown-5m-1789990200,213,0.79,0.8,0.795,0.2,0.21,0.20500000000000002,1120.4,4727.860000000001,4654.91,1103.22,-0.6168433004004611,0.6168130973076328,0.030000000000000027,-0.019999999999999907,0.010000000000000009,1.01,WAIT,0,"UP5+,UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:31:29,1789990288,btc-updown-5m-1789990200,212,0.77,0.78,0.775,0.22,0.23,0.225,1741.36,4223.82,4228.39,1711.36,-0.4161584394770988,0.4237602592701714,0.010000000000000009,-0.030000000000000027,-0.010000000000000009,1.01,WAIT,-2,"UP_BOOK_WEAK,DOWN_BOOK"
